,departement,frequence_mesure,annee,type_mesure,population,code_dep
145,2024-DEP-974,A,2022,PCAP,9842.0,74
146,2024-DEP-40,A,2022,PCAP,12188.0,40
147,2024-DEP-02,A,2022,PCAP,11427.0,02
148,2024-DEP-19,A,2022,PCAP,7499.0,19
149,2024-DEP-51,A,2022,PMUN,564107.0,51
150,2024-DEP-85,A,2022,PTOT,725062.0,85
151,2024-DEP-16,A,2022,PCAP,8656.0,16
152,2024-DEP-56,A,2022,PCAP,20989.0,56
153,2024-DEP-75,A,2022,PMUN,2113705.0,75
154,2024-DEP-13,A,2022,PCAP,24147.0,13
155,2024-DEP-39,A,2022,PCAP,8890.0,39
156,2024-DEP-44,A,2022,PCAP,28894.0,44
157,2024-DEP-73,A,2022,PCAP,12175.0,73
158,2024-DEP-05,A,2022,PMUN,141677.0,05
159,2024-DEP-68,A,2022,PCAP,13643.0,68
160,2024-DEP-61,A,2022,PCAP,7290.0,61
161,2024-DEP-62,A,2022,PCAP,21303.0,62
162,2024-DEP-65,A,2022,PTOT,237183.0,65
163,2024-DEP-65,A,2022,PCAP,5730.0,65
164,2024-DEP-56,A,2022,PTOT,797092.0,56
165,2024-DEP-11,A,2022,PTOT,386066.0,11
166,2024-DEP-54,A,2022,PTOT,744052.0,54
167,2024-DEP-2A,A,2022,PTOT,168376.0,2A
168,2024-DEP-55,A,2022,PTOT,185753.0,55
169,2024-DEP-73,A,2022,PMUN,445288.0,73
170,2024-DEP-66,A,2022,PCAP,8037.0,66
171,2024-DEP-14,A,2022,PTOT,718172.0,14
172,2024-DEP-16,A,2022,PMUN,351603.0,16
173,2024-DEP-46,A,2022,PMUN,175620.0,46
174,2024-DEP-27,A,2022,PCAP,13426.0,27
175,2024-DEP-15,A,2022,PMUN,144399.0,15
176,2024-DEP-91,A,2022,PMUN,1324546.0,91
177,2024-DEP-50,A,2022,PCAP,14819.0,50
178,2024-DEP-08,A,2022,PCAP,5905.0,08
179,2024-DEP-52,A,2022,PMUN,169865.0,52
180,2024-DEP-81,A,2022,PCAP,10018.0,81
181,2024-DEP-57,A,2022,PCAP,17898.0,57
182,2024-DEP-76,A,2022,PMUN,1260205.0,76
183,2024-DEP-07,A,2022,PCAP,8480.0,07
184,2024-DEP-46,A,2022,PCAP,5403.0,46
185,2024-DEP-57,A,2022,PMUN,1050721.0,57
186,2024-DEP-37,A,2022,PTOT,628358.0,37
187,2024-DEP-71,A,2022,PTOT,563990.0,71
188,2024-DEP-93,A,2022,PCAP,6480.0,93
189,2024-DEP-42,A,2022,PTOT,785855.0,42
190,2024-DEP-92,A,2022,PTOT,1663026.0,92
191,2024-DEP-03,A,2022,PTOT,343338.0,03
192,2024-DEP-18,A,2022,PTOT,306254.0,18
193,2024-DEP-45,A,2022,PMUN,687063.0,45
194,2024-DEP-66,A,2022,PMUN,492964.0,66
195,2024-DEP-90,A,2022,PMUN,140082.0,90
196,2024-DEP-26,A,2022,PTOT,534077.0,26
197,2024-DEP-25,A,2022,PCAP,13410.0,25
198,2024-DEP-90,A,2022,PTOT,142989.0,90
199,2024-DEP-40,A,2022,PMUN,428427.0,40
200,2024-DEP-24,A,2022,PTOT,426445.0,24
201,2024-DEP-77,A,2022,PMUN,1452399.0,77
202,2024-DEP-44,A,2022,PTOT,1502050.0,44
203,2024-DEP-34,A,2022,PMUN,1217331.0,34
204,2024-DEP-31,A,2022,PCAP,23152.0,31
205,2024-DEP-31,A,2022,PMUN,1456261.0,31
206,2024-DEP-80,A,2022,PCAP,9940.0,80
207,2024-DEP-63,A,2022,PTOT,678623.0,63
208,2024-DEP-68,A,2022,PMUN,767800.0,68
209,2024-DEP-02,A,2022,PMUN,525558.0,02
210,2024-DEP-972,A,2022,PCAP,3972.0,72
211,2024-DEP-971,A,2022,PCAP,4628.0,71
212,2024-DEP-80,A,2022,PTOT,575480.0,80
213,2024-DEP-37,A,2022,PCAP,12032.0,37
214,2024-DEP-27,A,2022,PMUN,601305.0,27
215,2024-DEP-34,A,2022,PTOT,1235457.0,34
216,2024-DEP-49,A,2022,PCAP,19878.0,49
217,2024-DEP-2B,A,2022,PTOT,187843.0,2B
218,2024-DEP-50,A,2022,PMUN,496815.0,50
219,2024-DEP-75,A,2022,PCAP,15552.0,75
220,2024-DEP-64,A,2022,PMUN,699473.0,64
221,2024-DEP-87,A,2022,PTOT,378754.0,87
222,2024-DEP-03,A,2022,PMUN,334715.0,03
223,2024-DEP-87,A,2022,PMUN,372438.0,87
224,2024-DEP-35,A,2022,PCAP,24631.0,35
225,2024-DEP-19,A,2022,PTOT,247619.0,19
226,2024-DEP-50,A,2022,PTOT,511634.0,50
227,2024-DEP-75,A,2022,PTOT,2129257.0,75
228,2024-DEP-67,A,2022,PCAP,15333.0,67
229,2024-DEP-64,A,2022,PTOT,718206.0,64
230,2024-DEP-13,A,2022,PMUN,2069811.0,13
231,2024-DEP-94,A,2022,PMUN,1419531.0,94
232,2024-DEP-39,A,2022,PTOT,267295.0,39
233,2024-DEP-79,A,2022,PMUN,375415.0,79
234,2024-DEP-21,A,2022,PMUN,537577.0,21
235,2024-DEP-43,A,2022,PTOT,234921.0,43
236,2024-DEP-47,A,2022,PTOT,340185.0,47
237,2024-DEP-09,A,2022,PTOT,159309.0,09
238,2024-DEP-10,A,2022,PCAP,6812.0,10
239,2024-DEP-78,A,2022,PTOT,1493882.0,78
240,2024-DEP-86,A,2022,PMUN,438688.0,86
241,2024-DEP-971,A,2022,PMUN,383569.0,71
242,2024-DEP-22,A,2022,PMUN,609598.0,22
243,2024-DEP-68,A,2022,PTOT,781443.0,68
244,2024-DEP-32,A,2022,PMUN,192649.0,32
245,2024-DEP-84,A,2022,PTOT,579262.0,84
246,2024-DEP-78,A,2022,PCAP,23104.0,78
